"tipo_de_establecimiento_de_salud","denominacion","disposicion","calle","provincia_id","provincia_nombre","vencimiento_del_certificado"
"ESTABLECIMIENTO","LABORATORIO DE ANALISIS CLINICOS","1319/2014","18 723",6,"BUENOS AIRES","11/11/2019"
"ESTABLECIMIENTO","LABORATORIO LACYE SRL","17433/2013","14 553",6,"BUENOS AIRES","30/12/2018"
"ESTABLECIMIENTO","""ALLENDE DENIS JORGE TREVISAN STELLA MARIS S.H CENTRO DE DIALISIS BALCARCE""","1002/2017","28 919",6,"BUENOS AIRES","13/06/2022"
"ESTABLECIMIENTO","LABORATORIO DE ANALISIS CLINICOS","333/2014","17 810",6,"BUENOS AIRES","03/05/2019"
"EMERGENCIA MÉDICA","G.A.M. SALUD S.A.","58/2018","Hipólito Irigoyen  7775",6,"BUENOS AIRES","20/10/2022"
"ESTABLECIMIENTO","CENTRO MEDICO ALSINA SRL","317/2017","AV ALSINA 761",6,"BUENOS AIRES","31/03/2019"
"ESTABLECIMIENTO","CLINICA PRIVADA NEUROPSIQUIATRICA ALVEAR ALEM","497/2017","ALEM 1250",6,"BUENOS AIRES","31/03/2022"
"ESTABLECIMIENTO","ALEVAGU S.A.","1028/2017","Hipólito Yrigoyen 7024",6,"BUENOS AIRES","14/06/2022"
"ESTABLECIMIENTO","INSTITUTO MEDICO FAMILIA SRL","1626/2013","FRENCH  401",6,"BUENOS AIRES","02/12/2018"
"ESTABLECIMIENTO","POLICLINICA PRIVADA CENTRO DIAGNOSTICO INTEGRAL","1208/2014","AVDA. HIPOLITO YRIGOYEN 7128",6,"BUENOS AIRES","29/10/2019"
"ESTABLECIMIENTO","CENTRO DE OJOS BANFIELD","1356/2013","AV ALSINA 277",6,"BUENOS AIRES","16/10/2018"
"ESTABLECIMIENTO","EL PALOMAR","2060/2017","VERNET 1150",6,"BUENOS AIRES","27/11/2022"
"RED","ALVEAR ALEM SA","1415/2017","Alem  1250",6,"BUENOS AIRES","17/03/2022"
"ESTABLECIMIENTO","RESIDENCIA GERIATRICA SAN GABRIEL","563/2014","F. AMEGHINO 421",6,"BUENOS AIRES","18/06/2019"
"ESTABLECIMIENTO","III MILENIUM","2024/2017","ANCHORENA  1362",6,"BUENOS AIRES","23/11/2022"
"ESTABLECIMIENTO","KINESIOLOGIA Y REHABILITACION LAFERRERE","484/2014","ECHEVERRIA 5858",6,"BUENOS AIRES","28/05/2019"
"ESTABLECIMIENTO","KINESIOLOGIA Y REHABILITACION LAFERRERE","196/2017","ECHEVERRIA 5858",6,"BUENOS AIRES","06/02/2021"
"ESTABLECIMIENTO","RESIDENCIA GERIATRICA BATAN","1310/2013","HUGO DEL CARRIL  3207",6,"BUENOS AIRES","16/10/2018"
"ESTABLECIMIENTO","RESIDENCIA GERIATRICA MODELO LOS NOGALES","1616/2017","MENUEL PEDRAZA 1785",6,"BUENOS AIRES","09/10/2022"
"ESTABLECIMIENTO","CENTRO DE DIAGNOSTICO Y TRATAMIENTO DE BAJA Y MEDIANA COMPLEJIDAD (POLICLINICA)","556/2017","Bolívar 487",6,"BUENOS AIRES","17/04/2022"
"ESTABLECIMIENTO","KINESIOLOGIA LA HORQUETA SH","1609/2013","URUGUAY  3330",6,"BUENOS AIRES","26/11/2018"
"ESTABLECIMIENTO","ASOCIACION CIVIL DE ESTUDIOS SUPERIORES ACES","553/2017","Asborno 642",6,"BUENOS AIRES","17/04/2022"
"DISCAPACIDAD","CENTRO  DE REHABILITACION DE GENERAL SARMIENTO","549/2014","AVDA. TTE. GRAL. RICCHIERI 671",6,"BUENOS AIRES","11/06/2019"
"DISCAPACIDAD","CENTRO EDUCATIVO TERAPEUTICO Y CENTRO DE ESTIMULACION TEMPRANA ANDU AVY","981/2014","RICCHIERI  221",6,"BUENOS AIRES","03/09/2019"
"ESTABLECIMIENTO","SANT CUGAT S.R.L.","477/2017","Senador Moron 759",6,"BUENOS AIRES","30/08/2021"
"DISCAPACIDAD","CENTRO DE REHABILITACION CETIB SRL","1971/2017","15 5125",6,"BUENOS AIRES","15/11/2022"
"EMERGENCIA MÉDICA","EMECA S.A.","1469/2016","150 756",6,"BUENOS AIRES","23/11/2021"
"ESTABLECIMIENTO","CLINICA PRIVADA DE PSIQUIATRIA Y PSICOLOGIA MEDICA SAN MARTIN","925/2015","11 4629",6,"BUENOS AIRES","29/07/2020"
"ESTABLECIMIENTO","POLICLINICA PRIVADA JULIA C DE TISCORNIA","1538/2014","148 1531",6,"BUENOS AIRES","22/12/2019"
"ESTABLECIMIENTO","CENTRO ASISTENCIAL SU SALUD","1652/2017","147 1347",6,"BUENOS AIRES","12/01/2022"
"ESTABLECIMIENTO","INSTITUTO INTEGRAL DE DIAGNOSTICO","706/2017","14 2622",6,"BUENOS AIRES","16/05/2022"
"ESTABLECIMIENTO","CENTRO DE DIA DENOMINADO PIEDRA LIBRE","1671/2013","117 1350",6,"BUENOS AIRES","04/12/2018"
"ESTABLECIMIENTO","CENTRO DE DIALISIS","976/2016","138 E/ 10 Y 11 1030",6,"BUENOS AIRES","26/07/2021"
"ESTABLECIMIENTO","CLINICA PRIVADA DE PSIQUIATRIA Y PSICOLOGIA","922/2015","11 4629",6,"BUENOS AIRES","29/07/2020"
"ESTABLECIMIENTO","INSTITUTO DE OJOS SANTA LUCIA BERAZATEGUI","1210/2015","141 1371",6,"BUENOS AIRES","03/10/2020"
"ESTABLECIMIENTO","CLINICA PRIVADA ENRIQUE MOSCONI","1310/2017","8 3419",6,"BUENOS AIRES","04/08/2022"
"ESTABLECIMIENTO","CLINICA PRIVADA NERUOPSIQUIATRICA SAN ANDRES S.R.L.","1022/2014","CALLE 164 Nº 1915",6,"BUENOS AIRES","10/09/2019"
"ESTABLECIMIENTO","INSTITUTO MEDICO ARGENTINO DE BERISOO S.A.","724/2018","12 4295",6,"BUENOS AIRES","07/05/2023"
"DISCAPACIDAD","C.P.I. CENTRO PSICOTERAPEUTICO INTEGRAL S.R.L.","136/2018","Chacabuco 675",6,"BUENOS AIRES","02/02/2023"
"ESTABLECIMIENTO","GABINETE DE KINESIOLOGIA GRUPO COCELZA","628/2014","BELGRANO 378",6,"BUENOS AIRES","04/07/2019"
"ESTABLECIMIENTO","CONSULTORIOS PSIQUIATRICOS PSICOLOGICOS QUILMES S.A.","616/2017","9 DE JULIO  146",6,"BUENOS AIRES","26/04/2022"
"ESTABLECIMIENTO","SANATORIO BERNAL S.R.L.","1000/2014","AV. SAN MARTIN 572",6,"BUENOS AIRES","05/09/2019"
"ESTABLECIMIENTO","SANATORIO BERNAL S.R.L.","1061/2017","AV. SAN MARTIN 572",6,"BUENOS AIRES","05/09/2019"
"ASOCIACIÓN","CIRCULO MEDICO DE BOLIVAR","513/2014","MITRE  724",6,"BUENOS AIRES","05/06/2019"
"ESTABLECIMIENTO","HOGAR GERIATRICO MODESTO MAGADAN","931/2016","ESPAÑA Y URUGUAY",6,"BUENOS AIRES","14/07/2021"
"ESTABLECIMIENTO","HEPTA S.A.","1395/2015","FONDO SE LA LEGUA 577",6,"BUENOS AIRES","16/11/2020"
"ESTABLECIMIENTO","ASOCIACION CIVIL GENS","148/2014","CARLOS GARDEL  2169",6,"BUENOS AIRES","12/03/2019"
"ESTABLECIMIENTO","HOGAR LA TRADICION S.R.L.","1635/2017","Avda. del Libertador (BECCAR) 17232",6,"BUENOS AIRES","09/10/2022"
"ESTABLECIMIENTO","CENTRO ENDOSCOPICO BRAGADO CEBRA","1232/2017","RAUCH  44",6,"BUENOS AIRES","21/07/2022"
"ESTABLECIMIENTO","SERV.DE DIALISIS PROP.DE CLINICA PRIVADA INSTITUTO MEDICO BRAGADO CONCESIONADO A LA RAZON SOCIAL SENEBRA S.A.","1040/2014","PELLEGRINI 1845",6,"BUENOS AIRES","11/09/2019"
"ESTABLECIMIENTO","INVERSIONES Y SALUD ASOCIADOS SRL","1857/2017","ITUZAINGO 695",6,"BUENOS AIRES","03/11/2022"
"ENTIDAD CUIDADO DE SALUD","SANATORIO MODELO BURZACO S.A.","818/2016","ESPORA 3250",6,"BUENOS AIRES","24/06/2021"
"ESTABLECIMIENTO","MEDICINA Y SALUD BERAZATEGUI SRL","36/2014","CNO GRAL BELGRANO  6511",6,"BUENOS AIRES","06/02/2019"
"ESTABLECIMIENTO","COMUNIDAD TERAPEUTICA DARSE CUENTA","1226/2017","Camino General Belgrano entre 446 y 447",6,"BUENOS AIRES","21/07/2022"
"ESTABLECIMIENTO","BEST MEDICAL GROUP S.A.","1371/2016","9 DE JULIO 1074",6,"BUENOS AIRES","27/10/2021"
"ESTABLECIMIENTO","INSTITUTO DE MEDICINA MEDIFEM","1509/2016","CASTELLI 167",6,"BUENOS AIRES","05/12/2021"
"ESTABLECIMIENTO","SERVICIO DE GASTROENTEROLOGÍA - RV ENDOSCOPY S.R.L.","2163/2017","Belgrano 252",6,"BUENOS AIRES","13/06/2019"
"ESTABLECIMIENTO","CIMO SALUD S.R.L.- POLICONSULTORIO","2120/2017","CASTELLI 176",6,"BUENOS AIRES","14/08/2022"
"ESTABLECIMIENTO","CSI - COMPAÑÍA DE SERVICIOS INSTITUCIONALES","1426/2018","Dr. de Dominicis 771",6,"BUENOS AIRES","14/08/2022"
"ESTABLECIMIENTO","CENTRO MEDICO CANNING","434/2014","R. 58 MARIANO CASTEX 1925",6,"BUENOS AIRES","21/05/2019"
"ESTABLECIMIENTO","LABORATORIO MONTALVETTI CANNING","1920/2017","MARIANO CASTEX 779",6,"BUENOS AIRES","08/11/2022"
"ESTABLECIMIENTO","LABORATORIO DE ANÁLISIS CLÍNICOS Y BACTEREOLÓGICOS","1881/2017","Rivadavia 596",6,"BUENOS AIRES","07/11/2022"
"ESTABLECIMIENTO","ASOCIACION CIVIL ASALP","972/2017","Basavilbaso 581",6,"BUENOS AIRES","06/06/2022"
"ESTABLECIMIENTO","CENTRO DE DIALISIS SAN BRUNO","1103/2015","MITRE ESQUINA MANUEL ACUÑA  468",6,"BUENOS AIRES","24/10/2018"
"ESTABLECIMIENTO","SEGUNDA OPORTUNIDAD","1537/2015","LOS IMIGRANTES Y MUÑOZ",6,"BUENOS AIRES","16/12/2020"
"ESTABLECIMIENTO","SEGUNDA OPORTUNIDAD","1670/2016","LOS IMIGRANTES Y MUÑOZ",6,"BUENOS AIRES","28/12/2021"
"ESTABLECIMIENTO","SANATORIO MODELO DE CASEROS","577/2016","LISANDRO MEDINA 2285",6,"BUENOS AIRES","03/05/2021"
"ESTABLECIMIENTO","GERIATRICO CASEROS S.R.L.","868/2018","Urquiza 4865",6,"BUENOS AIRES","30/05/2023"
"ESTABLECIMIENTO","CLINICA PRIVADA SAN ANDRES S.A.","150/2017","AMADEO SABATINI 4776",6,"BUENOS AIRES","14/02/2022"
"ESTABLECIMIENTO","CENTRO DE ESTUDIO Y TRATAMIENTO ENFERMEDADES CRITICAS","1323/2015","WENCESLAO DE TATA 4726",6,"BUENOS AIRES","28/10/2020"
"ESTABLECIMIENTO","RESIDENCIA GERIATRICA TRES ARCOS","30/2016","GENERAL HORNOS 4143",6,"BUENOS AIRES","14/01/2021"
"ESTABLECIMIENTO","BUENOS AIRES DIAGNOSTICO MEDICO SA","62/2018","Av. Mitre  4671",6,"BUENOS AIRES","13/07/2022"
"DISCAPACIDAD","EDUCACION TERAPEUTICA CASTELAR SRL","1407/2013","SARMIENTO  2928",6,"BUENOS AIRES","25/10/2018"
"ESTABLECIMIENTO","COMUNIDAD TERAPEUTICA PROGRAMA DESPERTARES","1870/2017","ALFREDO BUFANO 3870",6,"BUENOS AIRES","07/11/2022"
"ESTABLECIMIENTO","HOGAR DOCTOR OVANDO","923/2014","ARISTOBULO DEL VALLE 464",6,"BUENOS AIRES","28/08/2019"
"ESTABLECIMIENTO","INSTITUTO GERIATRICO MARANATA","658/2016","ESTANISLAO LOPEZ  972",6,"BUENOS AIRES","17/05/2021"
"ESTABLECIMIENTO","INSTITUTO PEDIATRICO CASTELAR S.R.L","1673/2016","MONTES DE OCA 2231",6,"BUENOS AIRES","28/12/2021"
"ASOCIACIÓN","""CIRCULO ODONTOLOGICO DE CHACABUCO""","842/2014","AV. SAAVEDRA 78",6,"BUENOS AIRES","14/08/2019"
"ESTABLECIMIENTO","IDOP S.R.L.","35/2018","Avenida Urquiza 119",6,"BUENOS AIRES","29/06/2022"
"ESTABLECIMIENTO","CLINICA SAN ISIDRO LABRADOR","978/2014","ITALIA Y CASTELLI",6,"BUENOS AIRES","03/09/2019"
"ESTABLECIMIENTO","COOPERATIVA ELECTRICA DE CHACABUCO LTDA TOMOCOOP","1755/2013","LAPRIDA  277",6,"BUENOS AIRES","01/01/2019"
"ESTABLECIMIENTO","GEMINA S.R.L.","59/2018","Espora 2",6,"BUENOS AIRES","17/11/2022"
"ESTABLECIMIENTO","INSTITUTO OFTALMOLOGICO DEL NOROESTE S.A.","781/2017","RIVADAVIA 15",6,"BUENOS AIRES","22/05/2022"
"ASOCIACIÓN","CIRCULO MEDICO DE CHASCOMUS","90/2017","BELGRANO 236",6,"BUENOS AIRES","06/02/2022"
"ASOCIACIÓN","CIRCULO MEDICO DE CHIVILCOY","1528/2017","MORENO  230",6,"BUENOS AIRES","22/09/2022"
"ASOCIACIÓN","CIRCULO MEDICO DE GENERAL LA MADRID","185/2017","25 DE MAYO Nº744",6,"BUENOS AIRES","21/02/2022"
"ESTABLECIMIENTO","POLICLINICA PRIVADA SINDICATO DE EMPLEADOS DE COMERCIO","1558/2013","AV SOAREZ 169",6,"BUENOS AIRES","20/11/2018"
"ESTABLECIMIENTO","ASMEDINT S.A","1595/2017","Paso de la Patria  local 10 16",6,"BUENOS AIRES","04/10/2018"
"ESTABLECIMIENTO","INST.OFTALMOLOG.DEL NOROESTE-PROP.DE INST.OFTALMOLOGICO DEL NOROESTE S.A. (EST.MONOVAL.EN OFTALM. C/INTERNAC.Y PREST.QUIR.-CAT.II)","98/2017","PELLEGRINI Nº 183",6,"BUENOS AIRES","06/02/2022"
"ESTABLECIMIENTO","CONVIVIR","1435/2013","LAVALLE  115",6,"BUENOS AIRES","29/10/2018"
"ESTABLECIMIENTO","INSTITUTO MEDICO DEL OESTE S.R.L.","170/2017","SUIPACHA 75",6,"BUENOS AIRES","17/02/2022"
"ESTABLECIMIENTO","CLINICA PRIVADA","486/2015","AV SOAREZ 321",6,"BUENOS AIRES","28/04/2020"
"ESTABLECIMIENTO","FUNDACION QUARELLO PARA LA REHABILITACION INTEGRAL","1033/2017","14 A 529",6,"BUENOS AIRES","14/06/2022"
"ESTABLECIMIENTO","HOGAR GERIATRICO ANTIGUO RECREO VENECIA","72/2017","481 ENTRE GENERAL BELGRANO Y 21",6,"BUENOS AIRES","23/01/2022"
"ESTABLECIMIENTO","CENTRO DE REHABILITACION CITY BELL PROPIEDAD DE EXSA SA","1722/2013","7 E/ CANTILO Y 13 354",6,"BUENOS AIRES","20/12/2018"
"EMERGENCIA MÉDICA","SERVICIO DE AMBULANCIA PARA TRASLADO DE PACIENTES SIN RIESGO DE VIDA “SERMED” PROPIEDAD DE TRASLADOS SANITARIOS S.R.L.","1163/2018","J.J. PASO  415",6,"BUENOS AIRES","20/03/2023"
"ESTABLECIMIENTO","ADREN SA","1426/2013","MALDONADO  283",6,"BUENOS AIRES","29/10/2018"
"ESTABLECIMIENTO","SANATORIO PRIVADO SALUD SRL","327/2014","REINALDA RODRIGUEZ  3784",6,"BUENOS AIRES","30/04/2019"
"ESTABLECIMIENTO","CLINICA MODELO CLAYPOLE SA","1471/2014","2 DE ABRIL",6,"BUENOS AIRES","09/12/2019"
"ESTABLECIMIENTO","HOGAR GERIATRICO INSTITUTO MEDICO HERMANAS MISIONERAS","1697/2017","AV FUNDADORES EDUARDO CASEY EX ROCA  487",6,"BUENOS AIRES","17/10/2022"
"ASOCIACIÓN","ASOCIACION MEDICA DEL PARTIDO DE CORONEL DORREGO","545/2016","LEQUERICA 973",6,"BUENOS AIRES","28/04/2021"
"ESTABLECIMIENTO","SANATORIO PRINGLES SA","1627/2015","GARAY  882",6,"BUENOS AIRES","20/11/2018"
"ESTABLECIMIENTO","CLINICA CORONEL SUAREZ SA","657/2014","AV ALSINA  335",6,"BUENOS AIRES","10/07/2019"
"ESTABLECIMIENTO","CENTRO NEFROLOGICO CORONEL SUAREZ","375/2016","BRANDSEN 580",6,"BUENOS AIRES","04/04/2021"
"ASOCIACIÓN","CIRCULO MEDICO DAIREAUX","1353/2015","PELLEGRINI 999",6,"BUENOS AIRES","29/10/2020"
"ESTABLECIMIENTO","POLICONSULTORIO PROPIEDAD DE ROBERJOACO S.R.L.","2182/2017","LOS NARCISOS  877",6,"BUENOS AIRES","02/08/2022"
"ESTABLECIMIENTO","FUNDACION JUNTOS PODEMOS","1568/2015","LISANDRO DE LA TORRE 5595",6,"BUENOS AIRES","17/12/2020"
"ESTABLECIMIENTO","CENTRO MEDICO VILLANUEVA PROPIEDAD DE B.G.MED S.A.","2251/2017","Boulevard de Todos los Santos 100",6,"BUENOS AIRES","04/12/2022"
"ESTABLECIMIENTO","CENTRO DE HEMODIALISIS","1085/2014","25 DE MAYO 247",6,"BUENOS AIRES","18/09/2019"
"ESTABLECIMIENTO","HOGAR GERIATRICO LOS MIRASOLES","1272/2017","MONTEVIDEO 33",6,"BUENOS AIRES","24/07/2022"
"ESTABLECIMIENTO","POLICLINICA PRIVADA ALVEAR","1509/2017","MARCELO T DE ALVEAR  2737",6,"BUENOS AIRES","21/09/2022"
"ESTABLECIMIENTO","SANATOTIO ""CLINICA PRIVADA HISPANO ARGENTINA ""","904/2016","dorrego  296",6,"BUENOS AIRES","12/07/2021"
